zipcode,filings_since_032320,unitsres_total,unitsrental,filingsrate_2plus
00000,337,,,
01042,1,,,
10001,2878,23099,23073,124
10002,4718,36923,36916,127
10003,2797,34095,34034,82
10004,282,4187,4187,67
10005,1110,6135,6135,180
10006,246,3219,3219,76
10007,290,4594,4566,63
10009,3228,33863,33856,95
10010,1232,20031,20026,61
10011,3052,34353,34201,89
10012,1412,15228,15209,92
10013,1446,19934,19893,72
10014,2146,22878,22611,94
10016,3534,46027,45976,76
10017,1094,13729,13706,79
10018,1416,7536,7536,187
10019,5464,39075,39070,139
10021,2292,30836,30641,74
10022,1932,27891,27837,69
10023,3001,44070,43992,68
10024,3232,37150,37016,87
10025,7493,48257,48193,155
10026,7625,15392,15373,495
10027,8110,28683,28593,283
10028,2640,30517,30376,86
10029,8245,35142,35120,234
10030,8896,32236,32101,277
10031,13525,22149,22030,613
10032,12088,22489,22455,538
10033,9088,20323,20314,447
10034,7887,15812,15803,499
10035,7150,17744,17721,403
10036,5095,36921,36915,138
10037,5059,11084,11077,456
10038,1351,14930,14927,90
10039,7197,11733,11732,613
10040,8253,16083,16081,513
10041,1,,,
10044,881,11951,11951,73
10065,1945,22961,22750,85
10069,220,4726,4726,46
10075,1266,18291,18196,69
10126,9,,,
10128,3003,35856,35627,84
10162,79,,,
10176,2,0,0,
10280,701,4873,4873,143
10282,206,3476,3476,59
10301,4288,16430,12460,344
10302,1256,6403,4073,308
10303,2331,8456,5171,450
10304,4204,16063,9894,424
10305,1404,15383,8819,159
10306,2213,21631,9971,221
10307,253,5445,3191,79
10308,426,10487,4681,91
10309,591,12576,7406,79
10310,1375,8897,5138,267
10312,925,22584,9297,99
10314,1983,32556,19792,100
10402,1,,,
10411,4,,,
10450,5,,,
10451,11436,21375,21328,536
10452,20139,28291,28221,713
10453,23949,33545,33386,717
10454,6587,15600,15395,427
10455,7827,17360,17224,454
10456,20761,33063,32778,633
10457,21085,29899,29584,712
10458,20584,29560,29338,701
10459,11088,19164,18817,589
10460,14471,23840,23607,612
10461,4115,20297,18125,227
10462,12971,32348,31662,409
10463,8184,31371,30624,267
10464,196,2172,1319,148
10465,1567,16083,12289,127
10466,9121,23746,20972,434
10467,21475,47999,47433,452
10468,19756,26547,26335,750
10469,6636,22403,18118,366
10470,2051,6621,5936,345
10471,1092,10220,8953,121
10472,9364,22272,21915,427
10473,6033,22742,21415,281
10474,2613,4071,4066,642
10475,1827,17516,17352,105
10476,8,,,
10542,8,,,
10546,9,,,
10547,7,,,
10601,5,,,
11001,67,1443,456,146
11003,6,,,
11004,391,5006,2768,141
11005,14,1844,1844,7
11021,8,,,
11026,4,,,
11027,6,,,
11040,10,975,452,22
11042,6,,,
11096,1,0,,
11101,2721,31449,30974,87
11102,1877,17021,16852,111
11103,1828,17287,16908,108
11104,2389,13138,12728,187
11105,2794,16710,15771,177
11106,2212,19949,19762,111
11109,508,3352,3352,151
11111,5,,,
11201,2263,41563,40872,55
11202,25,,,
11203,11300,27575,23738,476
11204,2442,29574,27516,88
11205,2763,18613,18470,149
11206,4853,35607,35499,136
11207,13577,34090,31966,424
11208,11586,30304,28525,406
11209,4427,32769,29807,148
11210,9245,23331,18202,507
11211,3013,30426,30224,99
11212,15048,33193,31611,476
11213,11932,26637,25920,460
11214,5253,33308,32250,162
11215,1580,33236,32317,48
11216,6780,26950,26550,255
11217,2000,21878,21611,92
11218,3626,27071,25691,141
11219,2593,29025,28595,90
11220,3710,29506,28897,128
11221,10588,35004,34626,305
11222,1756,21911,21712,80
11223,4152,29056,26525,156
11224,4187,21290,20068,208
11225,12478,25017,23741,525
11226,22117,40532,39402,561
11228,986,15794,13381,73
11229,3487,31521,25316,137
11230,7055,32306,29066,242
11231,1080,18201,17872,60
11232,1032,9332,9211,112
11233,12223,29472,29274,417
11234,3238,31072,20488,158
11235,6632,36418,34337,193
11236,6714,31007,28072,239
11237,3625,17449,17343,209
11238,5237,30015,29698,176
11239,2145,10059,9752,219
11242,4,,,
11249,2137,17824,17781,120
11332,3,,,
11335,5,,,
11347,12,,,
11354,3131,60509,58471,53
11355,4869,31886,29501,165
11356,792,8406,7012,112
11357,863,15989,9324,92
11358,1077,13941,8585,125
11360,616,9159,7677,80
11361,978,11158,7295,134
11362,208,7001,4300,48
11363,277,2768,1130,245
11364,1024,13920,9428,108
11365,3863,16834,12291,314
11366,414,8061,5353,77
11367,1918,14651,11230,170
11368,13360,30498,29927,446
11369,1357,10700,8682,156
11370,969,9435,8264,117
11371,2,0,0,
11372,4914,24863,24302,202
11373,6936,34441,32996,210
11374,3996,20592,18793,212
11375,4144,34453,29781,139
11377,4296,38680,36967,116
11378,1024,13630,11149,91
11379,1089,15135,10796,100
11381,2,,,
11382,4,,,
11383,4,,,
11384,1,,,
11385,4113,37861,35291,116
11386,38,,,
11405,7,,,
11411,692,5995,1412,490
11412,2092,11348,5400,387
