court_name,zipcode,filings
Albany City Court,12209,33
Albany City Court,12054,1
Albany City Court,12180,1
Albany City Court,12203,71
Albany City Court,12210,151
Albany City Court,12207,26
Albany City Court,12205,4
Albany City Court,00000,6
Albany City Court,12208,62
Albany City Court,12110,1
Albany City Court,12211,2
Albany City Court,12206,176
Albany City Court,12202,125
Albany City Court,12204,21
Amsterdam City Court,12025,1
Amsterdam City Court,12010,68
Amsterdam City Court,10040,1
Auburn City Court,13021,135
Batavia City Court,14020,36
Beacon City Court,12508,41
Binghamton City Court,13790,2
Binghamton City Court,13905,107
Binghamton City Court,13760,1
Binghamton City Court,13903,39
Binghamton City Court,13901,49
Binghamton City Court,13904,24
Binghamton City Court,13902,1
Binghamton City Court,32579,1
Buffalo City Court,14209,19
Buffalo City Court,14212,73
Buffalo City Court,14203,23
Buffalo City Court,14208,77
Buffalo City Court,14206,101
Buffalo City Court,14760,1
Buffalo City Court,14213,97
Buffalo City Court,14204,33
Buffalo City Court,14201,53
Buffalo City Court,14207,100
Buffalo City Court,14222,32
Buffalo City Court,14214,65
Buffalo City Court,14220,40
Buffalo City Court,14218,3
Buffalo City Court,14211,226
Buffalo City Court,14223,1
Buffalo City Court,14210,46
Buffalo City Court,14202,9
Buffalo City Court,14215,285
Buffalo City Court,14216,40
Canandaigua City Court,14424,31
Cohoes City Court,12047,144
Corning City Court,14830,13
Cortland City Court,13045,49
Dunkirk City Court,14048,19
Elmira City Court,14904,38
Elmira City Court,14894,1
Elmira City Court,14905,17
Elmira City Court,14901,67
Fulton City Court,13069,30
Geneva City Court,14456,42
Glen Cove City Court,11542,47
Glens Falls City Court,12801,59
Gloversville City Court,12078,170
Hornell City Court,14843,4
Hudson City Court,12534,10
Ithaca City Court,14850,14
Jamestown City Court,14701,62
Johnstown City Court,12095,32
Kingston City Court,12401,69
Lackawanna City Court,14218,34
Little Falls City Court,13365,8
Lockport City Court,14303,2
Lockport City Court,14094,48
Long Beach City Court,11561,83
Mechanicville City Court,12118,13
Middletown City Court,10940,62
Mt. Vernon City Court,10801,1
Mt. Vernon City Court,10553,68
Mt. Vernon City Court,10550,540
Mt. Vernon City Court,10552,80
