week_eviction,marshalevictions
2017-01-02,442
2017-01-09,441
2017-01-16,403
2017-01-23,381
2017-01-30,412
2017-02-06,199
2017-02-13,402
2017-02-20,354
2017-02-27,406
2017-03-06,422
2017-03-13,300
2017-03-20,426
2017-03-27,319
2017-04-03,414
2017-04-10,313
2017-04-17,396
2017-04-24,387
2017-05-01,425
2017-05-08,415
2017-05-15,381
2017-05-22,360
2017-05-29,243
2017-06-05,359
2017-06-12,399
2017-06-19,358
2017-06-26,354
2017-07-03,238
2017-07-10,321
2017-07-17,378
2017-07-24,333
2017-07-31,346
2017-08-07,347
2017-08-14,420
2017-08-21,376
2017-08-28,298
2017-09-04,297
2017-09-11,404
2017-09-18,351
2017-09-25,370
2017-10-02,369
2017-10-09,329
2017-10-16,409
2017-10-23,383
2017-10-30,368
2017-11-06,216
2017-11-13,389
2017-11-20,280
2017-11-27,416
2017-12-04,392
2017-12-11,423
2017-12-18,175
2018-01-01,146
2018-01-08,612
2018-01-15,357
2018-01-22,436
2018-01-29,412
2018-02-05,391
2018-02-12,313
2018-02-19,362
2018-02-26,352
2018-03-05,343
2018-03-12,405
2018-03-19,302
2018-03-26,360
2018-04-02,308
2018-04-09,385
2018-04-16,399
2018-04-23,364
2018-04-30,402
2018-05-07,407
2018-05-14,394
2018-05-21,386
2018-05-28,316
2018-06-04,325
2018-06-11,371
2018-06-18,362
2018-06-25,349
2018-07-02,237
2018-07-09,324
2018-07-16,401
2018-07-23,379
2018-07-30,306
2018-08-06,351
2018-08-13,362
2018-08-20,354
2018-08-27,332
2018-09-03,283
2018-09-10,309
2018-09-17,357
2018-09-24,299
2018-10-01,301
2018-10-08,286
2018-10-15,322
2018-10-22,321
2018-10-29,316
2018-11-05,252
2018-11-12,246
2018-11-19,223
2018-11-26,330
2018-12-03,315
2018-12-10,368
2018-12-17,254
2018-12-31,249
2019-01-07,443
2019-01-14,378
2019-01-21,299
2019-01-28,342
2019-02-04,361
2019-02-11,304
2019-02-18,286
2019-02-25,362
2019-03-04,303
2019-03-11,320
2019-03-18,355
2019-03-25,288
2019-04-01,309
2019-04-08,338
2019-04-15,312
2019-04-22,273
2019-04-29,331
2019-05-06,305
2019-05-13,364
2019-05-20,287
2019-05-27,255
2019-06-03,315
2019-06-10,349
2019-06-17,315
2019-06-24,288
2019-07-01,183
2019-07-08,359
2019-07-15,309
2019-07-22,325
2019-07-29,258
2019-08-05,267
2019-08-12,308
2019-08-19,297
2019-08-26,262
2019-09-02,242
2019-09-09,248
2019-09-16,292
2019-09-23,297
2019-09-30,271
2019-10-07,214
2019-10-14,204
2019-10-21,260
2019-10-28,251
2019-11-04,205
2019-11-11,179
2019-11-18,301
2019-11-25,167
2019-12-02,290
2019-12-09,239
2019-12-16,208
2019-12-30,117
2020-01-06,363
2020-01-13,246
2020-01-20,259
2020-01-27,264
2020-02-03,202
2020-02-10,247
2020-02-17,237
2020-02-24,242
2020-03-02,233
2020-03-09,234
2020-11-16,1
2020-11-23,1
2020-11-30,2
2020-12-07,3
2020-12-14,1
2021-04-05,1
2021-04-26,1
2021-05-03,1
2021-05-17,1
2021-05-24,2
2021-05-31,1
2021-06-07,1
2021-06-21,4
2021-06-28,5
2021-07-05,5
2021-07-12,7
2021-07-19,1
2021-07-26,6
2021-08-02,8
2021-08-09,5
2021-08-16,5
2021-08-23,5
2021-08-30,9
2021-10-18,3
2021-10-25,6
2021-11-01,3
2021-11-08,7
2021-11-15,8
2021-11-22,4
2021-12-06,8
2021-12-13,8
2021-12-20,3
2021-12-27,2
2022-01-03,37
2022-01-10,25
2022-01-17,9
2022-01-24,14
2022-01-31,27
2022-02-07,37
2022-02-14,35
2022-02-21,24
2022-02-28,34
2022-03-07,36
2022-03-14,27
2022-03-21,60
2022-03-28,52
2022-04-04,59
2022-04-11,45
2022-04-18,49
2022-04-25,45
2022-05-02,59
2022-05-09,62
2022-05-16,71
2022-05-23,74
2022-05-30,71
2022-06-06,54
2022-06-13,54
2022-06-20,76
2022-06-27,57
2022-07-04,75
2022-07-11,59
2022-07-18,79
2022-07-25,72
2022-08-01,74
2022-08-08,85
2022-08-15,91
2022-08-22,76
2022-08-29,67
2022-09-05,85
2022-09-12,61
2022-09-19,94
2022-09-26,108
2022-10-03,139
2022-10-10,117
2022-10-17,119
2022-10-24,109
2022-10-31,147
2022-11-07,113
2022-11-14,170
2022-11-21,106
2022-11-28,162
2022-12-05,130
2022-12-12,95
2022-12-19,56
2022-12-26,8
2023-01-02,239
2023-01-09,173
2023-01-16,115
2023-01-23,172
2023-01-30,153
2023-02-06,152
2023-02-13,136
2023-02-20,122
2023-02-27,195
2023-03-06,137
2023-03-13,150
2023-03-20,175
2023-03-27,161
2023-04-03,168
2023-04-10,145
2023-04-17,161
2023-04-24,158
2023-05-01,176
2023-05-08,165
2023-05-15,224
2023-05-22,213
2023-05-29,205
2023-06-05,224
2023-06-12,276
2023-06-19,219
2023-06-26,294
2023-07-03,216
2023-07-10,267
2023-07-17,208
2023-07-24,226
2023-07-31,270
2023-08-07,224
2023-08-14,246
2023-08-21,266
2023-08-28,275
2023-09-04,217
2023-09-11,273
2023-09-18,256
2023-09-25,214
2023-10-02,266
2023-10-09,289
2023-10-16,293
2023-10-23,265
2023-10-30,266
2023-11-06,174
2023-11-13,291
2023-11-20,156
2023-11-27,298
2023-12-04,289
2023-12-11,282
2023-12-18,105
2023-12-25,10
2024-01-01,120
