zipcode,filings_since_032320,unitsres_total,unitsrental,filingsrate_2plus
00000,88,,,
01042,1,,,
10001,921,23099,23073,39
10002,1425,36923,36916,38
10003,700,34095,34034,20
10004,77,4187,4187,18
10005,302,6135,6135,49
10006,98,3219,3219,30
10007,77,4594,4566,16
10009,961,33863,33856,28
10010,361,20031,20026,18
10011,860,34353,34201,25
10012,347,15228,15209,22
10013,359,19934,19893,18
10014,564,22878,22611,24
10016,1031,46027,45976,22
10017,291,13729,13706,21
10018,433,7536,7536,57
10019,1595,39075,39070,40
10021,561,30836,30641,18
10022,527,27891,27837,18
10023,854,44070,43992,19
10024,850,37150,37016,22
10025,2187,48257,48193,45
10026,2339,15392,15373,152
10027,2363,28683,28593,82
10028,679,30517,30376,22
10029,2484,35142,35120,70
10030,2690,32236,32101,83
10031,3825,22149,22030,173
10032,3590,22489,22455,159
10033,2860,20323,20314,140
10034,2609,15812,15803,165
10035,2139,17744,17721,120
10036,1490,36921,36915,40
10037,1778,11084,11077,160
10038,427,14930,14927,28
10039,2456,11733,11732,209
10040,2629,16083,16081,163
10041,1,,,
10044,237,11951,11951,19
10055,1,0,0,
10065,551,22961,22750,24
10069,79,4726,4726,16
10075,334,18291,18196,18
10126,1,,,
10128,861,35856,35627,24
10162,22,,,
10176,1,0,0,
10280,202,4873,4873,41
10282,59,3476,3476,16
10301,1146,16430,12460,91
10302,323,6403,4073,79
10303,698,8456,5171,134
10304,1237,16063,9894,125
10305,358,15383,8819,40
10306,587,21631,9971,58
10307,63,5445,3191,19
10308,129,10487,4681,27
10309,144,12576,7406,19
10310,415,8897,5138,80
10312,214,22584,9297,23
10314,552,32556,19792,27
10373,1,,,
10402,1,,,
10411,1,,,
10450,1,,,
10451,4608,21375,21328,216
10452,8086,28291,28221,286
10453,9075,33545,33386,271
10454,2590,15600,15395,168
10455,3195,17360,17224,185
10456,8121,33063,32778,247
10457,8065,29899,29584,272
10458,7955,29560,29338,271
10459,4534,19164,18817,240
10460,5889,23840,23607,249
10461,1469,20297,18125,81
10462,5549,32348,31662,175
10463,3139,31371,30624,102
10464,59,2172,1319,44
10465,447,16083,12289,36
10466,3108,23746,20972,148
10467,8481,47999,47433,178
10468,7965,26547,26335,302
10469,2215,22403,18118,122
10470,697,6621,5936,117
10471,495,10220,8953,55
10472,3325,22272,21915,151
10473,2080,22742,21415,97
10474,977,4071,4066,240
10475,686,17516,17352,39
10476,3,,,
10542,1,,,
10546,1,,,
11001,22,1443,456,48
11003,2,,,
11004,92,5006,2768,33
11005,1,1844,1844,0
11021,3,,,
11026,1,,,
11027,1,,,
11040,6,975,452,13
11042,3,,,
11096,1,0,,
11101,1030,31449,30974,33
11102,627,17021,16852,37
11103,545,17287,16908,32
11104,833,13138,12728,65
11105,917,16710,15771,58
11106,700,19949,19762,35
11109,194,3352,3352,57
11111,4,,,
11167,1,,,
11201,780,41563,40872,19
11202,8,,,
11203,3423,27575,23738,144
11204,755,29574,27516,27
11205,876,18613,18470,47
11206,1763,35607,35499,49
11207,4544,34090,31966,142
11208,3519,30304,28525,123
11209,1328,32769,29807,44
11210,2928,23331,18202,160
11211,1092,30426,30224,36
11212,5084,33193,31611,160
11213,3919,26637,25920,151
11214,1729,33308,32250,53
11215,461,33236,32317,14
11216,2101,26950,26550,79
11217,675,21878,21611,31
11218,1131,27071,25691,44
11219,854,29025,28595,29
11220,1085,29506,28897,37
11221,3229,35004,34626,93
11222,527,21911,21712,24
11223,1417,29056,26525,53
11224,1560,21290,20068,77
11225,4005,25017,23741,168
11226,7426,40532,39402,188
11228,245,15794,13381,18
11229,1211,31521,25316,47
11230,2429,32306,29066,83
11231,350,18201,17872,19
11232,348,9332,9211,37
11233,3684,29472,29274,125
11234,822,31072,20488,40
11235,2083,36418,34337,60
11236,1673,31007,28072,59
11237,955,17449,17343,55
11238,1677,30015,29698,56
11239,1220,10059,9752,125
11242,4,,,
11249,815,17824,17781,45
11332,1,,,
11335,1,,,
11347,5,,,
11354,1071,60509,58471,18
11355,1697,31886,29501,57
11356,234,8406,7012,33
11357,218,15989,9324,23
11358,355,13941,8585,41
11360,194,9159,7677,25
11361,284,11158,7295,38
11362,63,7001,4300,14
11363,86,2768,1130,76
11364,366,13920,9428,38
11365,1244,16834,12291,101
11366,109,8061,5353,20
11367,630,14651,11230,56
