week_eviction,marshalevictions
2017-01-02,444
2017-01-09,436
2017-01-16,404
2017-01-23,381
2017-01-30,415
2017-02-06,200
2017-02-13,405
2017-02-20,352
2017-02-27,402
2017-03-06,422
2017-03-13,296
2017-03-20,428
2017-03-27,315
2017-04-03,418
2017-04-10,315
2017-04-17,397
2017-04-24,391
2017-05-01,426
2017-05-08,406
2017-05-15,387
2017-05-22,363
2017-05-29,246
2017-06-05,363
2017-06-12,394
2017-06-19,359
2017-06-26,357
2017-07-03,239
2017-07-10,318
2017-07-17,378
2017-07-24,334
2017-07-31,350
2017-08-07,348
2017-08-14,415
2017-08-21,371
2017-08-28,302
2017-09-04,292
2017-09-11,406
2017-09-18,350
2017-09-25,371
2017-10-02,363
2017-10-09,327
2017-10-16,399
2017-10-23,392
2017-10-30,366
2017-11-06,215
2017-11-13,391
2017-11-20,280
2017-11-27,414
2017-12-04,388
2017-12-11,424
2017-12-18,175
2018-01-01,146
2018-01-08,607
2018-01-15,358
2018-01-22,439
2018-01-29,412
2018-02-05,388
2018-02-12,311
2018-02-19,362
2018-02-26,357
2018-03-05,341
2018-03-12,410
2018-03-19,306
2018-03-26,358
2018-04-02,315
2018-04-09,382
2018-04-16,397
2018-04-23,369
2018-04-30,397
2018-05-07,404
2018-05-14,394
2018-05-21,381
2018-05-28,312
2018-06-04,325
2018-06-11,369
2018-06-18,356
2018-06-25,348
2018-07-02,240
2018-07-09,322
2018-07-16,401
2018-07-23,378
2018-07-30,308
2018-08-06,348
2018-08-13,362
2018-08-20,354
2018-08-27,336
2018-09-03,287
2018-09-10,311
2018-09-17,352
2018-09-24,298
2018-10-01,302
2018-10-08,283
2018-10-15,322
2018-10-22,322
2018-10-29,317
2018-11-05,248
2018-11-12,235
2018-11-19,225
2018-11-26,336
2018-12-03,318
2018-12-10,361
2018-12-17,253
2018-12-31,249
2019-01-07,442
2019-01-14,378
2019-01-21,297
2019-01-28,333
2019-02-04,361
2019-02-11,303
2019-02-18,286
2019-02-25,361
2019-03-04,301
2019-03-11,328
2019-03-18,356
2019-03-25,293
2019-04-01,299
2019-04-08,336
2019-04-15,315
2019-04-22,277
2019-04-29,338
2019-05-06,304
2019-05-13,368
2019-05-20,285
2019-05-27,258
2019-06-03,320
2019-06-10,348
2019-06-17,315
2019-06-24,284
2019-07-01,184
2019-07-08,356
2019-07-15,301
2019-07-22,330
2019-07-29,257
2019-08-05,262
2019-08-12,304
2019-08-19,298
2019-08-26,258
2019-09-02,242
2019-09-09,257
2019-09-16,289
2019-09-23,295
2019-09-30,272
2019-10-07,212
2019-10-14,205
2019-10-21,264
2019-10-28,247
2019-11-04,199
2019-11-11,182
2019-11-18,305
2019-11-25,165
2019-12-02,290
2019-12-09,240
2019-12-16,211
2019-12-30,116
2020-01-06,363
2020-01-13,245
2020-01-20,261
2020-01-27,270
2020-02-03,203
2020-02-10,247
2020-02-17,237
2020-02-24,246
2020-03-02,235
2020-03-09,229
2020-11-16,1
2020-11-23,1
2020-11-30,2
2020-12-07,3
2020-12-14,1
2021-04-05,1
2021-04-26,1
2021-05-03,1
2021-05-17,1
2021-05-24,2
2021-05-31,1
2021-06-07,1
2021-06-21,4
2021-06-28,5
2021-07-05,5
2021-07-12,7
2021-07-19,1
2021-07-26,7
2021-08-02,8
2021-08-09,7
2021-08-16,4
2021-08-23,5
2021-08-30,9
2021-10-18,4
2021-10-25,6
2021-11-01,3
2021-11-08,7
2021-11-15,8
2021-11-22,4
2021-12-06,8
2021-12-13,8
2021-12-20,3
2021-12-27,2
2022-01-03,38
2022-01-10,26
2022-01-17,10
2022-01-24,13
2022-01-31,25
2022-02-07,37
2022-02-14,35
2022-02-21,23
2022-02-28,36
2022-03-07,37
2022-03-14,26
2022-03-21,58
2022-03-28,51
2022-04-04,59
2022-04-11,47
2022-04-18,50
2022-04-25,45
2022-05-02,60
2022-05-09,60
2022-05-16,71
2022-05-23,74
2022-05-30,71
2022-06-06,54
2022-06-13,53
2022-06-20,76
2022-06-27,58
2022-07-04,74
2022-07-11,58
2022-07-18,77
2022-07-25,74
2022-08-01,75
2022-08-08,83
2022-08-15,88
2022-08-22,76
2022-08-29,67
2022-09-05,86
2022-09-12,62
2022-09-19,94
2022-09-26,106
2022-10-03,135
2022-10-10,117
2022-10-17,115
2022-10-24,112
2022-10-31,148
2022-11-07,115
2022-11-14,167
2022-11-21,104
2022-11-28,162
2022-12-05,128
2022-12-12,94
2022-12-19,56
2022-12-26,8
2023-01-02,244
2023-01-09,172
2023-01-16,118
2023-01-23,171
2023-01-30,156
2023-02-06,154
2023-02-13,143
2023-02-20,125
2023-02-27,195
2023-03-06,136
2023-03-13,149
2023-03-20,172
2023-03-27,163
2023-04-03,167
2023-04-10,143
2023-04-17,162
2023-04-24,158
2023-05-01,173
2023-05-08,163
2023-05-15,228
2023-05-22,215
2023-05-29,206
2023-06-05,233
2023-06-12,284
2023-06-19,223
2023-06-26,293
2023-07-03,223
2023-07-10,271
2023-07-17,209
2023-07-24,226
2023-07-31,269
2023-08-07,229
2023-08-14,255
2023-08-21,271
2023-08-28,275
2023-09-04,220
2023-09-11,276
2023-09-18,251
2023-09-25,215
2023-10-02,263
2023-10-09,271
2023-10-16,115
