day,rep_rate
2022-01-17,62.0
2022-01-24,65.8
2022-01-31,63.3
2022-02-07,61.6
2022-02-14,54.1
2022-02-21,52.6
2022-02-28,52.4
2022-03-07,53.1
2022-03-14,46.1
2022-03-21,43.3
2022-03-28,47.8
2022-04-04,50.9
2022-04-11,49.9
2022-04-18,49.7
2022-04-25,51.1
2022-05-02,56.3
2022-05-09,55.0
2022-05-16,50.4
2022-05-23,47.6
2022-05-30,52.2
2022-06-06,50.5
2022-06-13,45.5
2022-06-20,46.8
2022-06-27,48.6
2022-07-04,48.1
2022-07-11,47.5
2022-07-18,43.7
2022-07-25,44.8
2022-08-01,48.7
2022-08-08,44.0
2022-08-15,44.7
2022-08-22,46.3
2022-08-29,43.5
2022-09-05,48.9
2022-09-12,41.7
2022-09-19,39.4
2022-09-26,43.2
2022-10-03,48.7
2022-10-10,42.3
2022-10-17,44.4
2022-10-24,43.5
2022-10-31,46.6
2022-11-07,42.7
2022-11-14,42.8
2022-11-21,45.7
2022-11-28,42.5
2022-12-05,44.1
2022-12-12,39.9
2022-12-19,44.4
2022-12-26,42.6
2023-01-02,46.9
2023-01-09,42.5
2023-01-16,43.2
2023-01-23,40.5
2023-01-30,45.9
2023-02-06,41.9
2023-02-13,38.0
2023-02-20,34.8
2023-02-27,35.3
2023-03-06,37.5
2023-03-13,32.0
2023-03-20,29.5
2023-03-27,30.6
2023-04-03,36.8
2023-04-10,29.4
2023-04-17,28.9
2023-04-24,28.3
2023-05-01,32.6
2023-05-08,26.7
2023-05-15,28.1
2023-05-22,26.5
2023-05-29,32.3
2023-06-05,26.4
2023-06-12,23.5
2023-06-19,20.5
2023-06-26,18.8
2023-07-03,36.3
2023-07-10,39.5
