day,active_cases
2015-12-28,0
2016-01-04,127
2016-01-11,269
2016-01-18,350
2016-01-25,454
2016-02-01,586
2016-02-08,679
2016-02-15,850
2016-02-22,1004
2016-02-29,1125
2016-03-07,1232
2016-03-14,1338
2016-03-21,1461
2016-03-28,1549
2016-04-04,1643
2016-04-11,1749
2016-04-18,1836
2016-04-25,1945
2016-05-02,2038
2016-05-09,2149
2016-05-16,2230
2016-05-23,2329
2016-05-30,2403
2016-06-06,2509
2016-06-13,2631
2016-06-20,2733
2016-06-27,2839
2016-07-04,2921
2016-07-11,3060
2016-07-18,3197
2016-07-25,3289
2016-08-01,3383
2016-08-08,3519
2016-08-15,3624
2016-08-22,3722
2016-08-29,3805
2016-09-05,3890
2016-09-12,4012
2016-09-19,4149
2016-09-26,4265
2016-10-03,4380
2016-10-10,4485
2016-10-17,4618
2016-10-24,4693
2016-10-31,4806
2016-11-07,4922
2016-11-14,5062
2016-11-21,5178
2016-11-28,5296
2016-12-05,5435
2016-12-12,5554
2016-12-19,5663
2016-12-26,5745
2017-01-02,5813
2017-01-09,5932
2017-01-16,6035
2017-01-23,6160
2017-01-30,6299
2017-02-06,6438
2017-02-13,6549
2017-02-20,6649
2017-02-27,6747
2017-03-06,6856
2017-03-13,6945
2017-03-20,7054
2017-03-27,7147
2017-04-03,7269
2017-04-10,7375
2017-04-17,7448
2017-04-24,7542
2017-05-01,7631
2017-05-08,7739
2017-05-15,7822
2017-05-22,7913
2017-05-29,7978
2017-06-05,8088
2017-06-12,8188
2017-06-19,8278
2017-06-26,8377
2017-07-03,8423
2017-07-10,8567
2017-07-17,8673
2017-07-24,8766
2017-07-31,8858
2017-08-07,9002
2017-08-14,9088
2017-08-21,9182
2017-08-28,9268
2017-09-04,9353
2017-09-11,9459
2017-09-18,9564
2017-09-25,9656
2017-10-02,9755
2017-10-09,9853
2017-10-16,9998
2017-10-23,10094
2017-10-30,10200
2017-11-06,10311
2017-11-13,10433
2017-11-20,10493
2017-11-27,10570
2017-12-04,10691
2017-12-11,10803
2017-12-18,10941
2017-12-25,11009
2018-01-01,11122
2018-01-08,11309
2018-01-15,11468
2018-01-22,11636
2018-01-29,11802
2018-02-05,12004
2018-02-12,12188
2018-02-19,12314
2018-02-26,12447
2018-03-05,12678
2018-03-12,12830
2018-03-19,12950
2018-03-26,13101
2018-04-02,13287
2018-04-09,13461
2018-04-16,13580
2018-04-23,13680
2018-04-30,13875
2018-05-07,14066
2018-05-14,14197
2018-05-21,14320
2018-05-28,14419
2018-06-04,14632
2018-06-11,14810
2018-06-18,14966
2018-06-25,15099
2018-07-02,15217
2018-07-09,15442
2018-07-16,15640
2018-07-23,15805
2018-07-30,15970
2018-08-06,16160
2018-08-13,16338
2018-08-20,16513
2018-08-27,16650
2018-09-03,16794
2018-09-10,16962
2018-09-17,17117
2018-09-24,17254
2018-10-01,17432
2018-10-08,17605
2018-10-15,17800
2018-10-22,17938
2018-10-29,18110
2018-11-05,18334
2018-11-12,18485
2018-11-19,18647
2018-11-26,18776
2018-12-03,18985
2018-12-10,19193
2018-12-17,19404
2018-12-24,19497
2018-12-31,19634
2019-01-07,19843
2019-01-14,20021
2019-01-21,20168
2019-01-28,20298
2019-02-04,20505
2019-02-11,20675
2019-02-18,20816
2019-02-25,20973
2019-03-04,21140
2019-03-11,21325
2019-03-18,21482
2019-03-25,21597
2019-04-01,21792
2019-04-08,21953
2019-04-15,22087
2019-04-22,22233
2019-04-29,22388
2019-05-06,22594
2019-05-13,22790
2019-05-20,22937
2019-05-27,23033
2019-06-03,23221
2019-06-10,23388
2019-06-17,23518
2019-06-24,23601
2019-07-01,23678
2019-07-08,23781
2019-07-15,23909
2019-07-22,23984
2019-07-29,24126
2019-08-05,24303
2019-08-12,24504
2019-08-19,24696
2019-08-26,24896
2019-09-02,25092
2019-09-09,25301
2019-09-16,25531
2019-09-23,25746
2019-09-30,25984
2019-10-07,26219
2019-10-14,26448
2019-10-21,26666
2019-10-28,26933
2019-11-04,27183
2019-11-11,27388
2019-11-18,27681
2019-11-25,27880
2019-12-02,28174
2019-12-09,28504
2019-12-16,28817
2019-12-23,28968
2019-12-30,29156
2020-01-06,29531
2020-01-13,29910
2020-01-20,30238
2020-01-27,30553
2020-02-03,30990
2020-02-10,31345
2020-02-17,31714
2020-02-24,32132
2020-03-02,32720
2020-03-09,33084
2020-03-16,33294
2020-03-23,33294
2020-04-06,33294
2020-04-13,33295
2020-04-27,33295
2020-05-11,33295
2020-05-25,33295
2020-06-01,33295
2020-06-08,33295
2020-06-15,33295
2020-06-22,33297
2020-06-29,33300
2020-07-06,33317
2020-07-13,33372
2020-07-20,33427
2020-07-27,33546
2020-08-03,33620
2020-08-10,33742
2020-08-17,33883
2020-08-24,34125
2020-08-31,34317
2020-09-07,34475
2020-09-14,34674
2020-09-21,34884
2020-09-28,35062
2020-10-05,35279
2020-10-12,35459
2020-10-19,35685
2020-10-26,35965
2020-11-02,36309
2020-11-09,36568
2020-11-16,36819
2020-11-23,37030
2020-11-30,37258
2020-12-07,37468
2020-12-14,37769
2020-12-21,38036
2020-12-28,38100
2021-01-04,38117
2021-01-11,38182
2021-01-18,38233
2021-01-25,38281
2021-02-01,38338
2021-02-08,38490
2021-02-15,38626
2021-02-22,38899
2021-03-01,39234
2021-03-08,39520
2021-03-15,39752
2021-03-22,40214
2021-03-29,40679
2021-04-05,41188
2021-04-12,41590
2021-04-19,42030
2021-04-26,42545
2021-05-03,43002
2021-05-10,43680
2021-05-17,44276
2021-05-24,44850
2021-05-31,45260
2021-06-07,45834
2021-06-14,46341
2021-06-21,46820
2021-06-28,47305
2021-07-05,47646
2021-07-12,48042
2021-07-19,48518
2021-07-26,48975
2021-08-02,49349
2021-08-09,49763
2021-08-16,50262
2021-08-23,50847
2021-08-30,51201
2021-09-06,51296
2021-09-13,51516
2021-09-20,51778
2021-09-27,52124
2021-10-04,52461
2021-10-11,52929
2021-10-18,53341
2021-10-25,53637
2021-11-01,54025
2021-11-08,54386
2021-11-15,54790
2021-11-22,55084
2021-11-29,55487
2021-12-06,55884
2021-12-13,56250
2021-12-20,56535
2021-12-27,56915
2022-01-03,57261
2022-01-10,57782
2022-01-17,58308
2022-01-24,58890
2022-01-31,59465
2022-02-07,60105
2022-02-14,60714
2022-02-21,61394
2022-02-28,62037
2022-03-07,62897
2022-03-14,63825
2022-03-21,64633
2022-03-28,65485
2022-04-04,66348
2022-04-11,67240
2022-04-18,68257
2022-04-25,69150
2022-05-02,70095
2022-05-09,71119
2022-05-16,72076
2022-05-23,72949
2022-05-30,73657
2022-06-06,74804
2022-06-13,75602
2022-06-20,76270
2022-06-27,77377
2022-07-04,78167
2022-07-11,79087
2022-07-18,80224
2022-07-25,81032
2022-08-01,81905
2022-08-08,82816
2022-08-15,83562
2022-08-22,84202
2022-08-29,85103
2022-09-05,85931
2022-09-12,86847
2022-09-19,87827
2022-09-26,88636
2022-10-03,89519
2022-10-10,90467
2022-10-17,91322
2022-10-24,92169
2022-10-31,93025
2022-11-07,93910
2022-11-14,94722
2022-11-21,95353
2022-11-28,96368
2022-12-05,97335
2022-12-12,98321
2022-12-19,99411
2022-12-26,100247
2023-01-02,101081
2023-01-09,102593
2023-01-16,103671
2023-01-23,104741
2023-01-30,105744
2023-02-06,106791
2023-02-13,107792
2023-02-20,108822
2023-02-27,110080
2023-03-06,111518
2023-03-13,112901
2023-03-20,114275
2023-03-27,115597
2023-04-03,116866
2023-04-10,118527
2023-04-17,120273
2023-04-24,122115
2023-05-01,124390
2023-05-08,126129
2023-05-15,127927
2023-05-22,129910
2023-05-29,131909
2023-06-05,134450
2023-06-12,136692
2023-06-19,138839
2023-06-26,141229
2023-07-03,143460
2023-07-10,146361
2023-07-17,148918
2023-07-24,151479
2023-07-31,154737
2023-08-07,157671
2023-08-14,160959
2023-08-21,163349
2023-08-28,166172
2023-09-04,168975
2023-09-11,171952
2023-09-18,174159
2023-09-25,175740
