court_name,zipcode,filings
Albany City Court,12220,1
Albany City Court,12202,1651
Albany City Court,00000,11
Albany City Court,12211,4
Albany City Court,12308,2
Albany City Court,12201,3
Albany City Court,12206,1821
Albany City Court,12205,39
Albany City Court,12110,1
Albany City Court,12180,2
Albany City Court,12303,1
Albany City Court,12047,1
Albany City Court,12309,1
Albany City Court,12204,290
Albany City Court,12209,359
Albany City Court,12208,713
Albany City Court,12305,1
Albany City Court,12210,1602
Albany City Court,12054,2
Albany City Court,12090,1
Albany City Court,12203,530
Albany City Court,12207,478
Albany City Court,12182,1
Amsterdam City Court,12068,1
Amsterdam City Court,12010,745
Amsterdam City Court,10040,1
Auburn City Court,13021,1249
Auburn City Court,13033,1
Auburn City Court,13201,2
Batavia City Court,14020,454
Beacon City Court,10523,2
Beacon City Court,12508,312
Binghamton City Court,13905,1260
Binghamton City Court,13850,2
Binghamton City Court,13904,289
Binghamton City Court,13902,3
Binghamton City Court,13760,4
Binghamton City Court,32579,1
Binghamton City Court,13901,663
Binghamton City Court,13732,1
Binghamton City Court,13790,2
Binghamton City Court,13903,625
Binghamton City Court,13797,2
Buffalo City Court,14216,775
Buffalo City Court,14301,2
Buffalo City Court,14030,2
Buffalo City Court,14207,1619
Buffalo City Court,14025,9
Buffalo City Court,14136,1
Buffalo City Court,14170,4
Buffalo City Court,14209,526
Buffalo City Court,14201,746
Buffalo City Court,14068,39
Buffalo City Court,14226,411
Buffalo City Court,14057,12
Buffalo City Court,14219,124
Buffalo City Court,14141,34
Buffalo City Court,14224,201
Buffalo City Court,14225,797
Buffalo City Court,14139,4
Buffalo City Court,14217,275
Buffalo City Court,14004,47
Buffalo City Court,14096,3
Buffalo City Court,14109,1
Buffalo City Court,14047,36
Buffalo City Court,75063,1
Buffalo City Court,10204,1
Buffalo City Court,14131,1
Buffalo City Court,14213,1377
Buffalo City Court,14210,654
Buffalo City Court,14094,1
Buffalo City Court,14150,621
Buffalo City Court,14092,3
Buffalo City Court,14043,214
Buffalo City Court,14206,1115
Buffalo City Court,14609,1
Buffalo City Court,14033,5
Buffalo City Court,14081,6
Buffalo City Court,14080,31
Buffalo City Court,14214,952
Buffalo City Court,14027,1
Buffalo City Court,14085,3
Buffalo City Court,14169,1
Buffalo City Court,14215,3600
Buffalo City Court,14202,272
Buffalo City Court,14760,1
Buffalo City Court,14140,1
Buffalo City Court,14220,576
Buffalo City Court,14123,1
Buffalo City Court,14001,68
Buffalo City Court,14231,1
Buffalo City Court,14208,806
Buffalo City Court,14120,2
Buffalo City Court,14034,7
Buffalo City Court,14032,11
Buffalo City Court,14127,79
Buffalo City Court,14031,37
Buffalo City Court,14059,18
Buffalo City Court,14204,744
Buffalo City Court,14026,1
Buffalo City Court,14086,104
Buffalo City Court,14228,445
Buffalo City Court,14211,2035
Buffalo City Court,14227,814
Buffalo City Court,14218,22
Buffalo City Court,14212,760
Buffalo City Court,14203,215
Buffalo City Court,14075,429
Buffalo City Court,14061,1
Buffalo City Court,14069,1
Buffalo City Court,14052,53
Buffalo City Court,14072,111
Buffalo City Court,14051,30
Buffalo City Court,14091,1
Buffalo City Court,14055,2
Buffalo City Court,14006,74
Buffalo City Court,14222,593
Buffalo City Court,14221,216
Buffalo City Court,14223,308
Buffalo City Court,14111,12
Buffalo City Court,14070,13
Buffalo City Court,14205,2
Buffalo City Court,14240,5
Canandaigua City Court,14424,317
Canandaigua City Court,14624,1
Cohoes City Court,12047,1362
Corning City Court,14843,2
Corning City Court,14830,205
Corning City Court,14870,1
Cortland City Court,13141,1
Cortland City Court,13045,734
Dunkirk City Court,14063,1
Dunkirk City Court,14048,312
Elmira City Court,14901,835
Elmira City Court,14902,1
Elmira City Court,14904,440
Elmira City Court,14905,266
Fulton City Court,13069,493
Geneva City Court,14456,381
Glen Cove City Court,11747,2
Glen Cove City Court,11542,495
Glens Falls City Court,12801,473
Glens Falls City Court,12804,1
Gloversville City Court,12078,898
Hornell City Court,14843,266
Hudson City Court,12534,156
Ithaca City Court,14850,375
Ithaca City Court,13901,1
Jamestown City Court,14701,1055
Jamestown City Court,14733,2
Johnstown City Court,12095,209
Kingston City Court,12401,776
Kingston City Court,12561,1
Lackawanna City Court,14218,703
Lackawanna City Court,14219,7
Lackawanna City Court,14222,1
Little Falls City Court,13454,1
Little Falls City Court,13365,95
Little Falls City Court,13340,1
Lockport City Court,14303,2
Lockport City Court,14094,731
Long Beach City Court,11561,393
Mechanicville City Court,12118,228
Middletown City Court,10930,1
Middletown City Court,10941,5
Middletown City Court,10940,893
Mt. Vernon City Court,10553,423
Mt. Vernon City Court,10550,3715
Mt. Vernon City Court,10977,1
Mt. Vernon City Court,10708,1
Mt. Vernon City Court,10801,1
Mt. Vernon City Court,10552,625
Mt. Vernon City Court,10053,1
Mt. Vernon City Court,10551,1
Nassau County District Court - 1st District,11563,234
Nassau County District Court - 1st District,11561,198
Nassau County District Court - 1st District,11020,50
Nassau County District Court - 1st District,11571,10
Nassau County District Court - 1st District,11096,246
Nassau County District Court - 1st District,11553,393
Nassau County District Court - 1st District,11559,59
Nassau County District Court - 1st District,11596,39
Nassau County District Court - 1st District,11501,315
Nassau County District Court - 1st District,11562,1
Nassau County District Court - 1st District,11758,287
Nassau County District Court - 1st District,11572,179
Nassau County District Court - 1st District,11558,112
Nassau County District Court - 1st District,11756,238
Nassau County District Court - 1st District,11531,2
Nassau County District Court - 1st District,11710,149
