day,judgments
2024-05-27,1379
2024-05-20,1848
2024-05-13,1790
2024-05-06,1980
2024-04-29,1811
2024-04-22,1609
2024-04-15,2094
2024-04-08,2002
2024-04-01,1955
2024-03-25,1234
2024-03-18,1121
2024-03-11,1683
2024-03-04,1795
2024-02-26,1651
2024-02-19,1313
2024-02-12,1234
2024-02-05,1604
2024-01-29,1655
2024-01-22,1779
2024-01-15,1361
2024-01-08,1591
2024-01-01,1279
2023-12-25,378
2023-12-18,1456
2023-12-11,1627
2023-12-04,1631
2023-11-27,1787
2023-11-20,940
2023-11-13,1840
2023-11-06,1066
2023-10-30,1844
2023-10-23,1864
2023-10-16,1667
2023-10-09,1319
2023-10-02,1726
2023-09-25,1534
2023-09-18,1514
2023-09-11,1572
2023-09-04,1173
2023-08-28,1504
2023-08-21,1632
2023-08-14,1307
2023-08-07,1477
2023-07-31,1536
2023-07-24,1650
2023-07-17,1542
2023-07-10,1413
2023-07-03,1084
2023-06-26,1417
2023-06-19,1187
2023-06-12,1390
2023-06-05,1439
2023-05-29,1403
2023-05-22,1527
2023-05-15,1667
2023-05-08,1408
2023-05-01,1568
2023-04-24,1576
2023-04-17,1574
2023-04-10,1212
2023-04-03,1264
2023-03-27,1381
2023-03-20,1364
2023-03-13,1347
2023-03-06,1409
2023-02-27,1373
2023-02-20,1088
2023-02-13,1125
2023-02-06,1355
2023-01-30,1390
2023-01-23,1345
2023-01-16,1117
2023-01-09,1284
2023-01-02,1152
2022-12-26,347
2022-12-19,1248
2022-12-12,1411
2022-12-05,1430
2022-11-28,1292
2022-11-21,893
2022-11-14,1267
2022-11-07,727
2022-10-31,1362
2022-10-24,1443
2022-10-17,1298
2022-10-10,1125
2022-10-03,1092
2022-09-26,1080
2022-09-19,1098
2022-09-12,1250
2022-09-05,942
2022-08-29,1109
2022-08-22,1077
2022-08-15,949
2022-08-08,915
2022-08-01,1047
2022-07-25,903
2022-07-18,856
2022-07-11,911
2022-07-04,688
2022-06-27,828
2022-06-20,822
2022-06-13,877
2022-06-06,983
2022-05-30,690
2022-05-23,808
2022-05-16,850
2022-05-09,930
2022-05-02,821
2022-04-25,841
2022-04-18,665
2022-04-11,684
2022-04-04,750
2022-03-28,706
2022-03-21,677
2022-03-14,712
2022-03-07,609
2022-02-28,749
2022-02-21,377
2022-02-14,477
2022-02-07,434
2022-01-31,458
2022-01-24,432
2022-01-17,292
2022-01-10,236
2022-01-03,174
2021-12-27,13
2021-12-20,151
2021-12-13,199
2021-12-06,236
2021-11-29,203
2021-11-22,64
2021-11-15,182
2021-11-08,115
2021-11-01,144
2021-10-25,170
2021-10-18,162
2021-10-11,89
2021-10-04,109
2021-09-27,92
2021-09-20,90
2021-09-13,75
2021-09-06,47
2021-08-30,186
2021-08-23,143
2021-08-16,178
2021-08-09,112
2021-08-02,105
2021-07-26,105
2021-07-19,80
2021-07-12,110
2021-07-05,68
2021-06-28,52
2021-06-21,129
2021-06-14,90
2021-06-07,95
2021-05-31,84
2021-05-24,84
2021-05-17,94
2021-05-10,61
2021-05-03,80
2021-04-26,77
2021-04-19,64
2021-04-12,66
2021-04-05,54
2021-03-29,60
2021-03-22,36
2021-03-15,28
2021-03-08,24
2021-03-01,16
2021-02-22,9
2021-02-15,3
2021-02-08,3
2021-02-01,4
2021-01-25,7
2021-01-18,2
2021-01-11,6
2021-01-04,3
2020-12-28,13
2020-12-21,81
2020-12-14,64
2020-12-07,86
2020-11-30,64
2020-11-23,22
2020-11-16,92
2020-11-09,26
2020-11-02,34
2020-10-26,31
2020-10-19,7
2020-10-12,6
2020-10-05,2
2020-09-28,4
2020-09-14,1
2020-09-07,4
2020-08-17,1
2020-07-27,4
