count,category
70,Outside NYC.Issued Pandemic.All.Holdover
45,Outside NYC.Issued Prepandemic.All.Holdover
755,NYC.Issued Pandemic.Commercial.Holdover
193,NYC.Issued Prepandemic.Commercial.Holdover
66,Outside NYC.Issued Pandemic.Commercial.Holdover
19793,NYC.Issued Pandemic.Residential.Holdover
1946,NYC.Issued Prepandemic.Residential.Holdover
1355,Outside NYC.Issued Pandemic.Residential.Holdover
239,Outside NYC.Issued Pandemic.All.Non-Payment
286,Outside NYC.Issued Prepandemic.All.Non-Payment
4641,NYC.Issued Pandemic.Commercial.Non-Payment
416,NYC.Issued Prepandemic.Commercial.Non-Payment
128,Outside NYC.Issued Pandemic.Commercial.Non-Payment
110962,NYC.Issued Pandemic.Residential.Non-Payment
14164,NYC.Issued Prepandemic.Residential.Non-Payment
4663,Outside NYC.Issued Pandemic.Residential.Non-Payment
