day,judgments
2024-11-04,719
2024-10-28,1100
2024-10-21,1171
2024-10-14,892
2024-10-07,1102
2024-09-30,1072
2024-09-23,1124
2024-09-16,838
2024-09-09,1040
2024-09-02,771
2024-08-26,870
2024-08-19,1008
2024-08-12,833
2024-08-05,980
2024-07-29,988
2024-07-22,1073
2024-07-15,1017
2024-07-08,909
2024-07-01,748
2024-06-24,810
2024-06-17,919
2024-06-10,1165
2024-06-03,1086
2024-05-27,810
2024-05-20,1095
2024-05-13,923
2024-05-06,1118
2024-04-29,832
2024-04-22,758
2024-04-15,1040
2024-04-08,1138
2024-04-01,1085
2024-03-25,970
2024-03-18,999
2024-03-11,951
2024-03-04,1078
2024-02-26,989
2024-02-19,761
2024-02-12,707
2024-02-05,918
2024-01-29,970
2024-01-22,986
2024-01-15,817
2024-01-08,921
2024-01-01,660
2023-12-25,229
2023-12-18,736
2023-12-11,894
2023-12-04,984
2023-11-27,950
2023-11-20,567
2023-11-13,1040
2023-11-06,596
2023-10-30,1080
2023-10-23,1067
2023-10-16,850
2023-10-09,660
2023-10-02,933
2023-09-25,728
2023-09-18,779
2023-09-11,831
2023-09-04,620
2023-08-28,847
2023-08-21,847
2023-08-14,665
2023-08-07,824
2023-07-31,835
2023-07-24,857
2023-07-17,866
2023-07-10,745
2023-07-03,539
2023-06-26,750
2023-06-19,588
2023-06-12,696
2023-06-05,764
2023-05-29,789
2023-05-22,837
2023-05-15,879
2023-05-08,769
2023-05-01,874
2023-04-24,948
2023-04-17,834
2023-04-10,626
2023-04-03,540
2023-03-27,704
2023-03-20,721
2023-03-13,637
2023-03-06,774
2023-02-27,652
2023-02-20,452
2023-02-13,553
2023-02-06,744
2023-01-30,679
2023-01-23,672
2023-01-16,492
2023-01-09,602
2023-01-02,501
2022-12-26,179
2022-12-19,619
2022-12-12,656
2022-12-05,690
2022-11-28,589
2022-11-21,430
2022-11-14,607
2022-11-07,308
2022-10-31,603
2022-10-24,660
2022-10-17,582
2022-10-10,559
2022-10-03,480
2022-09-26,473
2022-09-19,295
2022-09-12,550
2022-09-05,364
2022-08-29,382
2022-08-22,365
2022-08-15,291
2022-08-08,278
2022-08-01,334
2022-07-25,265
2022-07-18,215
2022-07-11,248
2022-07-04,174
2022-06-27,168
2022-06-20,205
2022-06-13,260
2022-06-06,246
2022-05-30,197
2022-05-23,233
2022-05-16,228
2022-05-09,265
2022-05-02,234
2022-04-25,267
2022-04-18,141
2022-04-11,191
2022-04-04,180
2022-03-28,157
2022-03-21,177
2022-03-14,142
2022-03-07,116
2022-02-28,136
2022-02-21,82
2022-02-14,83
2022-02-07,64
2022-01-31,59
2022-01-24,93
2022-01-17,39
2022-01-10,48
2022-01-03,30
2021-12-27,4
2021-12-20,41
2021-12-13,46
2021-12-06,27
2021-11-29,35
2021-11-22,10
2021-11-15,32
2021-11-08,15
2021-11-01,15
2021-10-25,14
2021-10-18,18
2021-10-11,10
2021-10-04,6
2021-09-27,9
2021-09-20,28
2021-09-13,13
2021-09-06,7
2021-08-30,19
2021-08-23,18
2021-08-16,8
2021-08-09,18
2021-08-02,11
2021-07-26,6
2021-07-19,4
2021-07-12,3
2021-07-05,5
2021-06-28,5
2021-06-21,3
2021-06-14,1
2021-06-07,3
2021-05-31,1
2021-05-24,5
2021-05-17,3
2021-05-10,1
2021-05-03,2
2021-04-26,4
2021-04-19,4
2021-04-12,1
2021-04-05,2
2021-03-29,3
2021-03-22,1
2021-03-08,1
2021-03-01,1
2021-02-22,1
2021-02-08,1
2021-02-01,1
2020-12-28,2
2020-12-21,1
2020-11-30,2
2020-11-23,1
2020-11-16,1
2020-11-09,1
2020-11-02,1
