day,active_cases
2015-12-28,0
2016-01-04,73
2016-01-11,160
2016-01-18,209
2016-01-25,261
2016-02-01,331
2016-02-08,378
2016-02-15,474
2016-02-22,568
2016-02-29,636
2016-03-07,680
2016-03-14,731
2016-03-21,803
2016-03-28,847
2016-04-04,897
2016-04-11,952
2016-04-18,992
2016-04-25,1058
2016-05-02,1097
2016-05-09,1153
2016-05-16,1192
2016-05-23,1234
2016-05-30,1279
2016-06-06,1323
2016-06-13,1386
2016-06-20,1437
2016-06-27,1492
2016-07-04,1532
2016-07-11,1607
2016-07-18,1688
2016-07-25,1735
2016-08-01,1769
2016-08-08,1856
2016-08-15,1912
2016-08-22,1953
2016-08-29,1979
2016-09-05,2017
2016-09-12,2077
2016-09-19,2162
2016-09-26,2220
2016-10-03,2272
2016-10-10,2336
2016-10-17,2412
2016-10-24,2452
2016-10-31,2506
2016-11-07,2565
2016-11-14,2645
2016-11-21,2712
2016-11-28,2785
2016-12-05,2870
2016-12-12,2943
2016-12-19,3011
2016-12-26,3050
2017-01-02,3091
2017-01-09,3153
2017-01-16,3219
2017-01-23,3280
2017-01-30,3367
2017-02-06,3455
2017-02-13,3520
2017-02-20,3571
2017-02-27,3629
2017-03-06,3690
2017-03-13,3740
2017-03-20,3798
2017-03-27,3850
2017-04-03,3916
2017-04-10,3974
2017-04-17,4010
2017-04-24,4063
2017-05-01,4101
2017-05-08,4161
2017-05-15,4201
2017-05-22,4251
2017-05-29,4277
2017-06-05,4337
2017-06-12,4383
2017-06-19,4439
2017-06-26,4487
2017-07-03,4506
2017-07-10,4589
2017-07-17,4644
2017-07-24,4687
2017-07-31,4726
2017-08-07,4816
2017-08-14,4852
2017-08-21,4899
2017-08-28,4938
2017-09-04,4998
2017-09-11,5049
2017-09-18,5091
2017-09-25,5142
2017-10-02,5187
2017-10-09,5247
2017-10-16,5325
2017-10-23,5382
2017-10-30,5442
2017-11-06,5506
2017-11-13,5561
2017-11-20,5590
2017-11-27,5626
2017-12-04,5692
2017-12-11,5752
2017-12-18,5838
2017-12-25,5877
2018-01-01,5918
2018-01-08,5993
2018-01-15,6067
2018-01-22,6136
2018-01-29,6204
2018-02-05,6299
2018-02-12,6389
2018-02-19,6446
2018-02-26,6510
2018-03-05,6610
2018-03-12,6662
2018-03-19,6707
2018-03-26,6783
2018-04-02,6869
2018-04-09,6936
2018-04-16,6982
2018-04-23,7020
2018-04-30,7096
2018-05-07,7170
2018-05-14,7224
2018-05-21,7265
2018-05-28,7309
2018-06-04,7400
2018-06-11,7474
2018-06-18,7544
2018-06-25,7602
2018-07-02,7646
2018-07-09,7740
2018-07-16,7831
2018-07-23,7908
2018-07-30,7977
2018-08-06,8038
2018-08-13,8106
2018-08-20,8196
2018-08-27,8266
2018-09-03,8314
2018-09-10,8378
2018-09-17,8446
2018-09-24,8511
2018-10-01,8570
2018-10-08,8635
2018-10-15,8725
2018-10-22,8788
2018-10-29,8875
2018-11-05,8962
2018-11-12,9026
2018-11-19,9117
2018-11-26,9178
2018-12-03,9259
2018-12-10,9347
2018-12-17,9463
2018-12-24,9505
2018-12-31,9573
2019-01-07,9658
2019-01-14,9742
2019-01-21,9830
2019-01-28,9892
2019-02-04,9991
2019-02-11,10074
2019-02-18,10131
2019-02-25,10191
2019-03-04,10249
2019-03-11,10345
2019-03-18,10424
2019-03-25,10481
2019-04-01,10572
2019-04-08,10651
2019-04-15,10707
2019-04-22,10768
2019-04-29,10830
2019-05-06,10925
2019-05-13,11044
2019-05-20,11115
2019-05-27,11161
2019-06-03,11254
2019-06-10,11329
2019-06-17,11395
2019-06-24,11427
2019-07-01,11453
2019-07-08,11496
2019-07-15,11553
2019-07-22,11584
2019-07-29,11650
2019-08-05,11717
2019-08-12,11821
2019-08-19,11903
2019-08-26,12007
2019-09-02,12078
2019-09-09,12177
2019-09-16,12283
2019-09-23,12377
2019-09-30,12503
2019-10-07,12613
2019-10-14,12709
2019-10-21,12811
2019-10-28,12954
2019-11-04,13071
2019-11-11,13174
2019-11-18,13335
2019-11-25,13438
2019-12-02,13594
2019-12-09,13782
2019-12-16,13962
2019-12-23,14040
2019-12-30,14146
2020-01-06,14364
2020-01-13,14599
2020-01-20,14790
2020-01-27,14988
2020-02-03,15250
2020-02-10,15476
2020-02-17,15712
2020-02-24,15970
2020-03-02,16344
2020-03-09,16561
2020-03-16,16722
2020-03-23,16722
2020-04-06,16722
2020-04-13,16723
2020-04-27,16723
2020-05-11,16723
2020-05-25,16723
2020-06-01,16723
2020-06-08,16723
2020-06-15,16723
2020-06-22,16725
2020-06-29,16727
2020-07-06,16741
2020-07-13,16773
2020-07-20,16801
2020-07-27,16855
2020-08-03,16897
2020-08-10,16964
2020-08-17,17050
2020-08-24,17195
2020-08-31,17318
2020-09-07,17428
2020-09-14,17538
2020-09-21,17652
2020-09-28,17748
2020-10-05,17856
2020-10-12,17954
2020-10-19,18070
2020-10-26,18231
2020-11-02,18436
2020-11-09,18575
2020-11-16,18745
2020-11-23,18880
2020-11-30,19002
2020-12-07,19126
2020-12-14,19304
2020-12-21,19469
2020-12-28,19505
2021-01-04,19515
2021-01-11,19535
2021-01-18,19549
2021-01-25,19570
2021-02-01,19589
2021-02-08,19631
2021-02-15,19665
2021-02-22,19749
2021-03-01,19838
2021-03-08,19908
2021-03-15,19959
2021-03-22,20070
2021-03-29,20205
2021-04-05,20322
2021-04-12,20417
2021-04-19,20539
2021-04-26,20672
2021-05-03,20807
2021-05-10,20939
2021-05-17,21095
2021-05-24,21199
2021-05-31,21314
2021-06-07,21470
2021-06-14,21576
2021-06-21,21671
2021-06-28,21770
2021-07-05,21841
2021-07-12,21940
2021-07-19,22047
2021-07-26,22135
2021-08-02,22236
2021-08-09,22369
2021-08-16,22496
2021-08-23,22684
2021-08-30,22778
2021-09-06,22807
2021-09-13,22861
2021-09-20,22954
2021-09-27,23044
2021-10-04,23143
2021-10-11,23258
2021-10-18,23369
2021-10-25,23453
2021-11-01,23569
2021-11-08,23661
2021-11-15,23776
2021-11-22,23850
2021-11-29,23990
2021-12-06,24104
2021-12-13,24206
2021-12-20,24266
2021-12-27,24370
2022-01-03,24450
2022-01-10,24585
2022-01-17,24965
2022-01-24,25418
2022-01-31,25874
2022-02-07,26396
2022-02-14,26935
2022-02-21,27524
2022-02-28,28033
2022-03-07,28644
2022-03-14,29306
2022-03-21,29922
2022-03-28,30558
2022-04-04,31195
2022-04-11,31825
2022-04-18,32563
2022-04-25,33233
2022-05-02,33911
2022-05-09,34666
2022-05-16,35379
2022-05-23,36023
2022-05-30,36571
2022-06-06,37460
2022-06-13,38044
2022-06-20,38514
2022-06-27,39359
2022-07-04,39939
2022-07-11,40586
2022-07-18,41406
2022-07-25,41971
