day,judgments
2026-09-14,1204
2026-09-07,925
2026-08-31,1066
2026-08-24,1342
2026-08-17,1121
2026-08-10,1129
2026-08-03,980
2026-07-27,1112
2026-07-20,1086
2026-07-13,1019
2026-07-06,829
2026-06-29,728
2026-06-22,1025
2026-06-15,888
2026-06-08,810
2026-06-01,787
2026-05-25,852
2026-05-18,749
2026-05-11,878
2026-05-04,964
2026-04-27,1122
2026-04-20,988
2026-04-13,933
2026-04-06,690
2026-03-30,847
2026-03-23,911
2026-03-16,1000
2026-03-09,891
2026-03-02,869
2026-02-23,647
2026-02-16,686
2026-02-09,587
2026-02-02,1038
2026-01-26,692
2026-01-19,723
2026-01-12,798
2026-01-05,883
2025-12-29,264
2025-12-22,569
2025-12-15,966
2025-12-08,876
2025-12-01,988
2025-11-24,628
2025-11-17,829
2025-11-10,785
2025-11-03,829
2025-10-27,986
2025-10-20,956
2025-10-13,637
2025-10-06,816
2025-09-29,810
2025-09-22,695
2025-09-15,691
2025-09-08,935
2025-09-01,628
2025-08-25,757
2025-08-18,1140
2025-08-11,1029
2025-08-04,1060
2025-07-28,805
2025-07-21,914
2025-07-14,816
2025-07-07,810
2025-06-30,706
2025-06-23,621
2025-06-16,693
2025-06-09,725
2025-06-02,818
2025-05-26,636
2025-05-19,710
2025-05-12,803
2025-05-05,930
2025-04-28,832
2025-04-21,1022
2025-04-14,779
2025-04-07,914
2025-03-31,948
2025-03-24,1006
2025-03-17,929
2025-03-10,972
2025-03-03,1059
2025-02-24,1111
2025-02-17,816
2025-02-10,873
2025-02-03,1183
2025-01-27,924
2025-01-20,970
2025-01-13,1013
2025-01-06,815
2024-12-30,281
2024-12-23,290
2024-12-16,943
2024-12-09,864
2024-12-02,828
2024-11-25,545
2024-11-18,948
2024-11-11,583
2024-11-04,579
2024-10-28,832
2024-10-21,867
2024-10-14,669
2024-10-07,797
2024-09-30,827
2024-09-23,847
2024-09-16,663
2024-09-09,805
2024-09-02,595
2024-08-26,712
2024-08-19,815
2024-08-12,690
2024-08-05,785
2024-07-29,828
2024-07-22,854
2024-07-15,839
2024-07-08,774
2024-07-01,635
2024-06-24,683
2024-06-17,782
2024-06-10,978
2024-06-03,947
2024-05-27,682
2024-05-20,959
2024-05-13,788
2024-05-06,998
2024-04-29,746
2024-04-22,701
2024-04-15,926
2024-04-08,1013
2024-04-01,949
2024-03-25,884
2024-03-18,892
2024-03-11,868
2024-03-04,945
2024-02-26,886
2024-02-19,666
2024-02-12,612
2024-02-05,837
2024-01-29,892
2024-01-22,909
2024-01-15,758
2024-01-08,845
2024-01-01,617
2023-12-25,216
2023-12-18,665
2023-12-11,823
2023-12-04,909
2023-11-27,877
2023-11-20,534
2023-11-13,978
2023-11-06,564
2023-10-30,1010
2023-10-23,976
2023-10-16,808
2023-10-09,626
2023-10-02,891
2023-09-25,703
2023-09-18,757
2023-09-11,790
2023-09-04,602
2023-08-28,808
2023-08-21,815
2023-08-14,638
2023-08-07,783
2023-07-31,781
2023-07-24,826
2023-07-17,827
2023-07-10,712
2023-07-03,507
2023-06-26,727
2023-06-19,552
2023-06-12,677
2023-06-05,708
2023-05-29,777
2023-05-22,823
2023-05-15,846
2023-05-08,756
2023-05-01,864
2023-04-24,920
2023-04-17,807
2023-04-10,591
2023-04-03,523
2023-03-27,693
2023-03-20,699
2023-03-13,624
2023-03-06,750
2023-02-27,645
2023-02-20,449
2023-02-13,547
2023-02-06,731
2023-01-30,675
2023-01-23,671
2023-01-16,481
2023-01-09,594
2023-01-02,482
2022-12-26,176
2022-12-19,605
2022-12-12,653
2022-12-05,677
2022-11-28,579
2022-11-21,427
2022-11-14,606
2022-11-07,316
2022-10-31,602
2022-10-24,652
2022-10-17,572
2022-10-10,552
2022-10-03,468
2022-09-26,470
2022-09-19,295
2022-09-12,541
2022-09-05,364
2022-08-29,375
2022-08-22,363
2022-08-15,286
2022-08-08,276
2022-08-01,337
2022-07-25,266
2022-07-18,210
2022-07-11,241
2022-07-04,171
2022-06-27,170
2022-06-20,207
2022-06-13,256
2022-06-06,244
2022-05-30,197
2022-05-23,233
2022-05-16,227
2022-05-09,263
2022-05-02,234
2022-04-25,264
2022-04-18,141
2022-04-11,188
2022-04-04,177
2022-03-28,158
2022-03-21,174
2022-03-14,142
2022-03-07,114
2022-02-28,133
2022-02-21,82
2022-02-14,82
2022-02-07,62
2022-01-31,60
2022-01-24,92
2022-01-17,40
2022-01-10,48
2022-01-03,31
2021-12-27,4
2021-12-20,42
2021-12-13,45
2021-12-06,27
2021-11-29,34
2021-11-22,10
2021-11-15,32
2021-11-08,14
2021-11-01,15
2021-10-25,14
2021-10-18,18
2021-10-11,10
2021-10-04,5
2021-09-27,9
2021-09-20,28
2021-09-13,13
2021-09-06,7
2021-08-30,19
2021-08-23,19
2021-08-16,7
2021-08-09,18
2021-08-02,12
2021-07-26,7
2021-07-19,5
2021-07-12,3
2021-07-05,4
2021-06-28,5
2021-06-21,3
2021-06-14,1
2021-06-07,3
2021-05-31,1
2021-05-24,4
2021-05-17,3
2021-05-10,1
2021-05-03,2
2021-04-26,4
2021-04-19,4
2021-04-12,1
2021-04-05,2
2021-03-29,3
2021-03-22,1
2021-03-08,1
2021-03-01,1
2021-02-22,1
2021-02-08,1
2021-02-01,1
2020-12-28,2
2020-12-21,1
2020-11-30,2
2020-11-23,1
2020-11-16,1
2020-11-09,1
2020-11-02,1
2000-07-10,1
