day,judgments
2022-01-10,239
2022-01-03,194
2021-12-27,16
2021-12-20,176
2021-12-13,211
2021-12-06,248
2021-11-29,221
2021-11-22,80
2021-11-15,196
2021-11-08,122
2021-11-01,150
2021-10-25,174
2021-10-18,166
2021-10-11,96
2021-10-04,111
2021-09-27,95
2021-09-20,100
2021-09-13,82
2021-09-06,50
2021-08-30,206
2021-08-23,148
2021-08-16,186
2021-08-09,115
2021-08-02,113
2021-07-26,106
2021-07-19,81
2021-07-12,116
2021-07-05,72
2021-06-28,53
2021-06-21,132
2021-06-14,92
2021-06-07,100
2021-05-31,89
2021-05-24,93
2021-05-17,101
2021-05-10,63
2021-05-03,82
2021-04-26,80
2021-04-19,68
2021-04-12,67
2021-04-05,53
2021-03-29,60
2021-03-22,37
2021-03-15,32
2021-03-08,26
2021-03-01,17
2021-02-22,9
2021-02-15,3
2021-02-08,3
2021-02-01,4
2021-01-25,7
2021-01-18,2
2021-01-11,6
2021-01-04,2
2020-12-28,12
2020-12-21,82
2020-12-14,68
2020-12-07,87
2020-11-30,65
2020-11-23,24
2020-11-16,90
2020-11-09,27
2020-11-02,34
2020-10-26,31
2020-10-19,8
2020-10-12,6
2020-10-05,2
2020-09-28,4
2020-09-14,1
2020-09-07,4
2020-08-24,1
2020-08-17,1
2020-07-27,4
